[22-Dec-2019 06:28:32 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:28:32 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:29:33 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 06:29:33 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 06:29:33 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 06:29:33 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user ''@'localhost' (using password: NO) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 50
[22-Dec-2019 07:13:51 Asia/Taipei] PHP Notice:  Undefined index: logreg in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 3
[22-Dec-2019 07:13:51 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 4
[22-Dec-2019 07:13:51 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 5
[22-Dec-2019 07:13:51 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user ''@'localhost' (using password: NO) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 73
[22-Dec-2019 07:15:25 Asia/Taipei] PHP Notice:  Undefined index: ac in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 2
[22-Dec-2019 07:15:25 Asia/Taipei] PHP Notice:  Undefined index: pw in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 3
[22-Dec-2019 07:15:25 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user ''@'localhost' (using password: NO) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 5
[22-Dec-2019 07:27:56 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user '&lt;?php echo $ac?&gt;'@'localhost' (using password: YES) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 5
[22-Dec-2019 07:29:30 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user '&lt;?php echo $ac?&gt;'@'localhost' (using password: YES) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 5
[22-Dec-2019 07:30:19 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user '$ac'@'localhost' (using password: YES) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\function.php on line 5
[22-Dec-2019 08:36:22 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user 'ff'@'localhost' (using password: YES) in E:\Desktop\FCU\second year\software\BaseProject\src\htdocs\function\log.php on line 73
